,Consumer.no,clusterID1,clusterID2,clusterID3,clusterID4,clusterID5,clusterID6,clusterID7,clusterID8,clusterID9,clusterID10,clusterID11,clusterID12
1,]160220030013,2,1,1,1,1,1,1,1,1,3,3,3
2,]160220030030,2,3,3,3,3,3,2,3,3,3,3,3
3,]160220030048,1,1,1,1,1,1,1,1,1,3,1,3
4,]160220030056,1,3,1,1,3,3,3,1,3,3,1,3
5,]160220030064,3,2,3,3,3,2,3,3,3,2,2,2
6,]160220030072,1,1,1,1,1,1,1,1,1,3,3,3
7,]160220030081,2,3,1,1,1,1,1,1,1,3,3,3
8,]160220030099,3,2,3,3,2,2,2,3,3,2,2,1
9,]160220030102,2,1,3,1,3,3,1,1,1,3,3,3
10,]160220030129,2,3,3,3,3,3,3,1,3,3,3,3
11,]160220030145,3,2,2,2,2,2,2,2,3,2,2,2
12,]160220030153,2,3,3,3,2,2,3,3,3,3,3,3
13,]160220030161,3,2,2,3,3,3,3,3,3,2,2,2
14,]160220030170,2,3,3,3,3,3,3,3,3,2,3,3
15,]160220030188 ,1,1,1,1,1,1,1,1,1,3,3,3
16,]160220030196,1,1,1,1,1,1,1,1,1,1,1,1
17,]160220030200,3,2,2,1,2,2,2,3,2,2,2,2
18,]160220030218,1,1,1,1,1,1,1,1,1,3,1,1
19,]160220030226,2,3,1,1,1,3,2,1,1,1,1,3
20,]160220030234 ,1,1,1,1,1,1,1,1,1,3,1,1
